Indirect transition BDNS																										IndirectTrans_Sham																									
Pre1	Pre2	Pre3	Pre4	Pre5	Pre6	Pre7	Pre8	Pre9	Pre10	Pre11	Pre12	Pre13	Post1	Post2	Post3	Post4	Post5	Post6	Post7	Post8	Post9	Post10	Post11	Post12	Post13	ShamPre1	ShamPre2	ShamPre3	ShamPre4	ShamPre5	ShamPre6	ShamPre7	ShamPre8	ShamPre9	ShamPre10	ShamPre11	ShamPre12	ShamPre13	ShamPost1	ShamPost2	ShamPost3	ShamPost4	ShamPost5	ShamPost6	ShamPost7	ShamPost8	ShamPost9	ShamPost10	ShamPost11	ShamPost12	ShamPost13
0.017311	0.016783	0.017535	0.017469	0.018447	0.018184	0.019759	0.021134	0.022138	0.021721	0.023153	0.022883	0.023414	0.027068	0.02469	0.025628	0.026796	0.027999	0.031808	0.031307	0.034621	0.034929	0.036472	0.033958	0.037272	0.036908	0.017392	0.018761	0.01704	0.016655	0.016818	0.016945	0.018689	0.017071	0.016703	0.01636	0.015279	0.016711	0.019084	0.016841	0.01781	0.017997	0.017587	0.016806	0.017743	0.014528	0.018301	0.017699	0.015635	0.018704	0.016624	0.015451
0.017412	0.016613	0.016812	0.018504	0.017817	0.019652	0.019998	0.020711	0.021838	0.022703	0.022949	0.022994	0.022892	0.027731	0.024308	0.028485	0.026673	0.028768	0.029373	0.034014	0.035285	0.034315	0.036647	0.036802	0.035351	0.035586	0.017391	0.019015	0.017278	0.01729	0.018573	0.018664	0.020096	0.020268	0.018668	0.019292	0.018836	0.018895	0.017156	0.017221	0.01953	0.017652	0.018898	0.017701	0.018119	0.018122	0.020715	0.017891	0.019798	0.019088	0.018552	0.020373
0.017524	0.017249	0.017206	0.017717	0.018697	0.018731	0.021578	0.021045	0.023217	0.022565	0.022686	0.024037	0.023146	0.024843	0.024806	0.026284	0.027654	0.028451	0.030344	0.033843	0.0351	0.035466	0.036863	0.035328	0.036577	0.037581	0.017133	0.018222	0.01597	0.017183	0.01573	0.016442	0.013654	0.018934	0.016616	0.016575	0.016649	0.01702	0.017194	0.017124	0.016836	0.017099	0.016576	0.016661	0.016606	0.014176	0.015663	0.015874	0.016706	0.016294	0.016238	0.0155
0.012191	0.011948	0.01266	0.013086	0.012528	0.012987	0.014117	0.014955	0.015331	0.015456	0.016601	0.016541	0.015921	0.017109	0.018083	0.018089	0.019153	0.020542	0.021728	0.023241	0.024108	0.025344	0.023897	0.025325	0.0253	0.025474	0.012402	0.011148	0.012406	0.012337	0.01186	0.012903	0.010905	0.010964	0.012009	0.013444	0.012403	0.013022	0.015035	0.0129	0.014064	0.012619	0.012694	0.013348	0.011923	0.011311	0.013008	0.012264	0.012756	0.013103	0.012214	0.013658
0.013232	0.014007	0.01328	0.013939	0.01374	0.014932	0.015304	0.015649	0.017623	0.016539	0.018092	0.017491	0.017979	0.018802	0.019046	0.021181	0.019966	0.021452	0.024204	0.02347	0.025388	0.02667	0.027037	0.027304	0.028284	0.027736	0.013862	0.013977	0.013545	0.014187	0.01336	0.01379	0.014516	0.014758	0.013187	0.012481	0.012129	0.013218	0.015656	0.013936	0.014254	0.013212	0.013636	0.015002	0.013933	0.011859	0.014545	0.013079	0.014946	0.012209	0.014179	0.015129
0.013363	0.012611	0.013526	0.014355	0.013426	0.014543	0.016215	0.015848	0.017654	0.017992	0.017936	0.017994	0.017981	0.021355	0.018918	0.021727	0.020397	0.021306	0.024465	0.025391	0.026332	0.027658	0.026206	0.028084	0.028594	0.028424	0.013538	0.01516	0.013928	0.014015	0.012392	0.014295	0.012063	0.014972	0.013586	0.014201	0.012115	0.014156	0.014681	0.013718	0.01555	0.014286	0.01317	0.013736	0.014043	0.01414	0.015131	0.013362	0.012914	0.01211	0.014104	0.015176
0.019349	0.019869	0.019723	0.018984	0.019941	0.019948	0.022816	0.024374	0.024282	0.025633	0.025565	0.026171	0.026059	0.02921	0.027118	0.028617	0.029315	0.032807	0.034705	0.034698	0.039047	0.039911	0.040574	0.038542	0.040302	0.039294	0.017141	0.019782	0.017788	0.017119	0.015932	0.01718	0.019271	0.015919	0.01813	0.019153	0.015713	0.017558	0.015364	0.018357	0.018066	0.016962	0.016757	0.019073	0.018164	0.019804	0.01594	0.01749	0.017175	0.016627	0.01797	0.014791
0.019424	0.019204	0.019951	0.01929	0.020282	0.02023	0.022652	0.024111	0.024557	0.024964	0.025072	0.02674	0.026025	0.03073	0.027953	0.028624	0.031408	0.031413	0.035616	0.035737	0.03838	0.039589	0.038163	0.039354	0.039797	0.038755	0.017216	0.015024	0.016781	0.01771	0.016898	0.016675	0.01711	0.019988	0.017599	0.016644	0.017748	0.017695	0.01946	0.017768	0.019884	0.018229	0.017468	0.016565	0.017455	0.014133	0.015839	0.017806	0.019027	0.017648	0.017209	0.020427
0.019538	0.018426	0.020783	0.020913	0.021039	0.021193	0.023712	0.025386	0.025685	0.026337	0.025022	0.027148	0.026216	0.030951	0.028981	0.031357	0.031915	0.030589	0.035054	0.035079	0.038725	0.037943	0.038667	0.039843	0.038841	0.039387	0.017907	0.01996	0.016876	0.017414	0.016344	0.017195	0.014966	0.018065	0.017366	0.015952	0.016363	0.017862	0.019092	0.017389	0.019084	0.018321	0.018338	0.017907	0.01683	0.014106	0.018594	0.016779	0.017738	0.018081	0.017799	0.016531
0.019618	0.019514	0.019572	0.019624	0.021479	0.022341	0.023428	0.023594	0.02498	0.026004	0.025815	0.027081	0.026708	0.029887	0.030464	0.030096	0.030376	0.031261	0.03437	0.037691	0.037039	0.038174	0.039397	0.03988	0.042021	0.041485	0.017714	0.017534	0.018886	0.018388	0.019799	0.018851	0.018844	0.017512	0.019435	0.018044	0.016033	0.018167	0.019229	0.01818	0.017758	0.018218	0.018132	0.017615	0.019471	0.019604	0.019292	0.018978	0.017909	0.021128	0.018303	0.018847
0.01974	0.019587	0.019919	0.020894	0.020724	0.022139	0.022978	0.024369	0.025895	0.02493	0.025619	0.025964	0.026187	0.027908	0.028445	0.029146	0.032339	0.031867	0.03317	0.037853	0.039651	0.039549	0.040173	0.039368	0.03931	0.040462	0.020363	0.017397	0.019846	0.020428	0.018719	0.019051	0.022797	0.01734	0.019096	0.02027	0.020136	0.019248	0.021414	0.018923	0.020631	0.020044	0.019106	0.021358	0.019834	0.022915	0.022243	0.019758	0.018715	0.022054	0.019892	0.022149
0.019889	0.018886	0.020411	0.020817	0.019954	0.02119	0.023864	0.024967	0.025638	0.027206	0.026123	0.027619	0.026411	0.029613	0.030828	0.032219	0.031519	0.031524	0.034957	0.038898	0.040714	0.041153	0.039973	0.039289	0.039857	0.039957	0.022301	0.024356	0.020461	0.021468	0.020001	0.020549	0.022982	0.022711	0.022143	0.022047	0.022512	0.020723	0.020827	0.021652	0.019427	0.021837	0.022162	0.020501	0.021704	0.024252	0.023792	0.020315	0.021736	0.023595	0.021192	0.023657
0.020761	0.022332	0.019528	0.021303	0.022354	0.021595	0.024782	0.026526	0.026331	0.027669	0.028712	0.028619	0.028662	0.032249	0.032183	0.032374	0.03318	0.033259	0.03609	0.038838	0.041604	0.041839	0.043448	0.044187	0.041262	0.043587	0.020475	0.020767	0.020443	0.020819	0.020049	0.021137	0.024481	0.024328	0.020752	0.020496	0.022479	0.020535	0.020695	0.021862	0.020727	0.022153	0.020542	0.019094	0.021726	0.021607	0.020385	0.020692	0.019948	0.020464	0.021922	0.020033
0.014191	0.013457	0.01415	0.014852	0.014886	0.016161	0.016257	0.017195	0.018724	0.01894	0.018932	0.018668	0.018903	0.022759	0.022172	0.022427	0.02196	0.024035	0.02378	0.027119	0.027476	0.028806	0.028109	0.028318	0.029053	0.029777	0.013813	0.014105	0.014028	0.014362	0.014008	0.014377	0.017186	0.012905	0.014072	0.01416	0.013244	0.014515	0.013	0.014844	0.012539	0.013907	0.014025	0.015091	0.015052	0.013682	0.014854	0.014526	0.015458	0.014516	0.01491	0.014935
0.013208	0.013855	0.0134	0.013405	0.013747	0.013633	0.015947	0.016706	0.016758	0.017805	0.016943	0.017517	0.018188	0.019385	0.020198	0.020323	0.021998	0.0206	0.022197	0.025667	0.025081	0.025513	0.027704	0.027071	0.028332	0.027183	0.013528	0.014554	0.014476	0.014329	0.014907	0.013916	0.011415	0.015593	0.014754	0.014207	0.014562	0.013515	0.016341	0.014798	0.01521	0.013536	0.014323	0.015379	0.013713	0.01169	0.014944	0.013871	0.014092	0.012095	0.014189	0.012884
0.014214	0.015309	0.014719	0.01461	0.015714	0.015773	0.017115	0.016876	0.017994	0.018766	0.019266	0.019049	0.019409	0.022583	0.022274	0.021311	0.023392	0.024258	0.0239	0.026286	0.027518	0.02837	0.028082	0.028576	0.028397	0.029363	0.012474	0.011522	0.012159	0.01223	0.013065	0.01279	0.011629	0.013806	0.012372	0.01331	0.014057	0.012109	0.012387	0.012159	0.013491	0.013278	0.012733	0.011879	0.012568	0.011051	0.012127	0.012755	0.011878	0.013078	0.013186	0.014045
0.026336	0.027454	0.025105	0.026322	0.028153	0.02872	0.031767	0.033663	0.03451	0.035265	0.034027	0.035899	0.034777	0.040183	0.037535	0.039201	0.04317	0.044261	0.046816	0.050925	0.050132	0.054109	0.055199	0.053363	0.056682	0.053489	0.025648	0.023443	0.025455	0.025945	0.025111	0.024472	0.027702	0.027021	0.024125	0.026827	0.027047	0.024558	0.029803	0.024542	0.026501	0.024365	0.026379	0.025599	0.025747	0.023671	0.02546	0.026076	0.024136	0.023538	0.025839	0.027727
0.024209	0.023344	0.025258	0.024897	0.025304	0.02701	0.028386	0.030096	0.032433	0.031622	0.031977	0.032893	0.033239	0.03547	0.038704	0.037709	0.04016	0.037872	0.044001	0.047119	0.046439	0.048975	0.050651	0.048195	0.051028	0.049441	0.024404	0.026966	0.025085	0.025544	0.027151	0.025187	0.020136	0.024108	0.024456	0.025024	0.021539	0.026212	0.02271	0.02522	0.026206	0.023923	0.02504	0.023475	0.025652	0.021553	0.026614	0.025447	0.023551	0.027815	0.025528	0.029965
0.023842	0.02556	0.024071	0.024211	0.026011	0.025967	0.029173	0.029956	0.029892	0.030867	0.033004	0.031513	0.032799	0.03319	0.035308	0.036098	0.039867	0.040239	0.043531	0.045769	0.044876	0.046261	0.049186	0.049407	0.048305	0.050688	0.025741	0.026775	0.023766	0.024734	0.023897	0.024495	0.027286	0.021481	0.023597	0.024739	0.028045	0.02403	0.022819	0.024856	0.027174	0.02427	0.023536	0.027067	0.024038	0.025363	0.025391	0.024564	0.024831	0.022873	0.024103	0.026349
